GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1068	32	37	77	52	33	61	208	78	60	90	83	27
jgi.p|Debha1|1069	1322	3077	4307	3345	2457	3388	1180	663	690	3683	3809	1495
jgi.p|Debha1|107	1088	2349	3887	2734	1757	3528	4530	2614	2601	2832	3066	1478
jgi.p|Debha1|1070	1713	2802	4986	3097	1771	2970	7333	2512	3729	4141	4268	1993
jgi.p|Debha1|1071	101	129	260	167	77	135	840	168	326	286	276	132
jgi.p|Debha1|1072	357	1117	1420	1172	604	1403	528	148	255	1264	1351	520
jgi.p|Debha1|1073	264	457	717	484	277	574	5419	1260	1979	775	741	348
jgi.p|Debha1|1074	106	480	386	432	265	506	2311	1107	1202	477	466	204
jgi.p|Debha1|1075	65	73	147	99	66	124	177	47	60	75	104	50
jgi.p|Debha1|1076	2457	3256	7749	3513	2153	4909	10205	2382	4564	6278	6998	3210
jgi.p|Debha1|1077	65	181	191	159	102	159	847	294	311	224	226	86
jgi.p|Debha1|1078	135	291	287	337	138	195	1143	238	406	247	269	129
jgi.p|Debha1|1079	2	5	4	2	4	6	10	0	1	5	4	2
jgi.p|Debha1|108	521	756	1514	885	489	1084	2885	790	1256	1148	1365	599
jgi.p|Debha1|1080	87	151	210	144	94	143	209	65	83	133	155	105
jgi.p|Debha1|1081	1299	1118	3154	1119	785	1549	3745	752	1523	2729	2721	1372
jgi.p|Debha1|1082	437	715	1311	804	439	1331	1026	319	529	1018	1237	554
jgi.p|Debha1|1083	80	559	399	502	163	292	303	185	150	205	208	67
jgi.p|Debha1|1084	1526	3946	5990	4541	2349	5123	3211	1230	1770	3604	4511	2058
jgi.p|Debha1|1085	291	206	588	274	186	243	1105	238	522	469	410	234
jgi.p|Debha1|1086	2149	6830	7818	8854	4178	9747	1841	958	763	6185	6859	3423
jgi.p|Debha1|1087	335	271	774	254	170	376	1567	292	667	609	679	374
jgi.p|Debha1|1088	134	210	300	205	113	213	579	193	243	243	268	142
jgi.p|Debha1|1089	730	6332	3352	6570	2720	5609	3278	3416	1859	1868	2518	1186
jgi.p|Debha1|109	2564	5221	8663	5358	3749	6826	2748	1229	1384	7871	8070	3372
jgi.p|Debha1|1090	290	511	766	501	248	549	2110	584	1107	565	590	330
jgi.p|Debha1|1091	18	45	49	36	14	23	414	114	145	37	46	15
jgi.p|Debha1|1092	62	177	224	172	99	192	615	174	273	162	216	110
jgi.p|Debha1|1093	36	89	141	84	51	72	279	103	91	71	65	55
jgi.p|Debha1|1094	223	542	615	554	310	560	3901	1237	1683	717	669	265
jgi.p|Debha1|1095	98	98	235	122	102	128	315	88	136	267	245	96
jgi.p|Debha1|1096	39	110	108	89	65	115	666	193	258	111	94	46
jgi.p|Debha1|1097	72	100	151	127	61	101	807	312	372	169	199	77
jgi.p|Debha1|1098	5	13	22	26	5	14	230	61	100	21	25	9
jgi.p|Debha1|1099	186	325	492	356	238	389	1532	497	689	595	529	249
