cont	cont	cont	lowN	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
10035	30.7118300298728	105.58709745909	48.4271237788101	11.6804870534688	34.9726759314249	25.7534968962683	6.89070772415265	1.63521620281007	5.48423439577076	32.0831829133038	47.7182382175192	35.2504656813476
10044	40.4103026708853	146.024709251932	95.2126501413894	3.59399601645194	17.4863379657125	9.65756133610063	0	0	0	4.37497948817779	5.9647797771899	5.87507761355794
100462	550.388322377457	700.918604409276	503.149608074756	336.038627538257	522.749471817089	349.281801655639	399.661048000853	206.037241554068	200.174555445633	466.664478738964	486.129551840977	423.984767778431
100727	15.3559150149364	6.7396019654738	17.2367728704239	83.5604073825077	14.7253372342842	33.8014646763522	94.5011345026649	224.024619784979	191.948203851977	62.7080393305483	46.5252822620812	41.1255432949055
100742	290.954179230374	193.201923010249	261.013989180705	557.967881554164	239.286730057118	376.644892107925	377.020151192923	2216.53556290904	1192.82098108014	631.455372793661	614.37231705056	608.070533003246
100755	920.546694842766	1199.64914985434	1173.74215260506	1602.02372433345	819.096883657058	1047.84540496692	495.146569321254	323.772808156393	307.802655462634	1178.32780881588	830.893822962553	762.780910160272
101029	252.968494719742	262.844476653478	273.325969802437	274.042196254461	206.154721279979	257.534968962683	382.92647209934	443.961199062933	361.95947012087	281.457013739438	284.519995371958	278.087007041742
101175	235.99616759797	233.639534803092	238.031625353474	133.876351612835	160.138042422841	164.178542713711	144.704862207206	52.3269184899221	39.0751700698667	83.124610275378	65.0160995713699	74.4176497717338
101246	12.1230908012656	24.7118738734039	13.9535780379622	3.59399601645194	5.52200146285657	0	0	0	0	4.37497948817779	3.57886786631394	2.93753880677897
101337	3169.78414150424	4463.86303513215	3746.94610254692	2453.80078023257	3140.1781652111	2174.56089417866	1279.70286305692	2177.2903740416	1545.18304100841	1983.3240346406	2048.90185346473	1993.60967020066
101793	131.737586707086	121.312835378528	115.732617844275	215.639760987117	127.926367222844	178.664884717862	177.189627192497	145.534242050096	194.004791750391	211.457341928593	193.258864780953	173.314789599959
