cont	cont	cont	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
jgi.p|Debha1|1	1553.10131892571	1258.50163955026	1634.84427445117	1834.29994493445	2520.34700106071	104.108352911821	182.612338058959	144.200653300869	1425.81468665454	1622.8368639397	1752.09990208817
jgi.p|Debha1|10	91.358901113277	114.409239959115	87.723351312014	95.3611592167755	74.3265871626484	771.667994218022	665.470728877434	505.114288419615	77.6340002029694	92.5502672263746	99.1754661559344
jgi.p|Debha1|100	1780.97352055308	1329.14358637066	1485.31583471478	1292.05021605474	1439.23300596765	2174.31701925971	1586.37466681893	2117.6895941899	1618.95293106192	1697.06034557669	1536.24741692526
jgi.p|Debha1|1000	61.9560363871649	77.5525720528229	47.849100715644	57.964626190589	70.9481059279826	96.0188525166454	109.791467053853	87.3443957136692	88.9950734034039	98.0483029031889	114.732402023532
jgi.p|Debha1|1001	370.686116011343	605.063631461628	309.025442121868	366.486023656627	475.239693676328	317.60081986275	250.95192469452	342.785552989494	575.627708822017	565.381335432407	548.381989332814
jgi.p|Debha1|1002	6.30061386988118	8.44631972852527	9.9685626490925	9.34913325654662	5.63080205777639	2.81373926788704	3.36096327715876	2.47201119944347	5.68053660021727	8.2470535152215	5.83385095034908
jgi.p|Debha1|1003	253.074657106894	480.672377277892	223.295803339672	256.166251229377	246.629130130606	851.156128535831	497.422565019496	969.02839018184	373.021903414267	449.006246939837	394.757247640288
jgi.p|Debha1|1004	1093.15650642438	1002.04065870232	1294.91628811712	1232.21576321284	1710.63766515247	615.857182258777	1075.5082486908	790.219580088762	908.885856034763	1027.21633228481	999.533129493143
jgi.p|Debha1|1005	76.657468750221	42.2315986426263	63.798800954192	72.9232394010636	47.2987372853217	50.6473068219668	64.9786233584026	55.2082501209041	38.8170001014847	53.1476782092052	27.2246377682957
jgi.p|Debha1|1006	159.615551370323	138.212504648595	141.553589617114	166.41457196653	198.204232433729	227.209445881879	170.28880604271	195.288884756034	193.138244407387	139.283570479296	141.957039791828
jgi.p|Debha1|1007	199.519439212904	175.837019802935	179.434127683665	194.46197173617	189.194949141287	121.342505927629	144.521420917826	132.664601036799	160.948537006156	129.203838405137	136.123188841479
jgi.p|Debha1|1008	365.435604453108	450.72633460403	429.645050175887	529.160942320538	403.16542733679	349.255386626479	375.307565949394	364.209650051338	547.22502582093	547.970889122495	552.271223299713
jgi.p|Debha1|1009	60.905934075518	74.4811830606319	70.7767948085568	72.9232394010636	75.4527475742037	152.997072691358	140.040136548281	131.840597303652	82.3677807031504	87.0522315495602	85.5631472717865
jgi.p|Debha1|101	1015.44893536252	1268.48365377489	1045.7022218898	1093.84859101595	1355.89713551256	1446.61370110243	1614.38269412859	1897.68059743944	1483.56680875674	1439.56900804589	1479.85352440522
jgi.p|Debha1|1010	159.615551370323	150.498060617359	160.493858650389	170.154225269148	185.816467906621	250.774512250433	253.192566879293	267.801213273042	131.599097905033	175.937141658059	149.735507725626
jgi.p|Debha1|1011	21.0020462329373	20.7318756972893	19.937125298185	11.2189599078559	11.2616041155528	61.1988290765432	34.7299538639738	60.9762762529389	16.0948537006156	13.7450891920358	9.72308491724847
jgi.p|Debha1|1012	996.547093752873	1458.90977129073	891.18950082887	1278.96142949558	996.651964226422	289.111709775394	421.240730737231	365.033653784486	1352.91446695175	1417.57686533863	1085.09627676493
jgi.p|Debha1|1013	844.282258564078	1350.64330931599	731.69249844339	1017.18569831227	1241.02877353392	545.161983153115	631.861096105846	612.234773728832	1117.17219804273	1299.36909828712	1411.79192998448
jgi.p|Debha1|1014	223.671792380782	184.28333953146	231.270653458946	149.586132104746	195.951911610618	212.789032133958	265.516098895542	168.096761562156	132.54585400507	167.690088142837	157.513975659425
jgi.p|Debha1|1015	159.615551370323	143.58743538493	171.459277564391	151.455958756055	155.410136794628	366.489539642288	285.681878558494	394.697788177807	168.522585806446	127.371159846199	163.347826609774
jgi.p|Debha1|1016	157.515346747029	133.605421160309	174.449846359119	207.550758295335	95.7236349821987	30.9511319467575	50.4144491573813	22.2481007949912	107.930195404128	118.207767051508	95.286232189035
