GeneID	GYAPU	GYAPW	GYAPX	GYAPY	GYAPZ	GYASA	GYOYB	GYOYC	GYASG	GYOYG	GYASN	GYASO
jgi.p|Debsub1|213308	2098	954	3006	1276	1365	1526	1192	1599	1518	2034	1732	3307
jgi.p|Debsub1|213309	1647	674	1573	448	632	639	65	116	167	823	1034	735
jgi.p|Debsub1|213310	2920	1580	2733	1757	1968	2154	96	171	196	831	2154	1240
jgi.p|Debsub1|213313	2819	1348	3075	1521	2283	2874	369	397	906	1533	2351	1141
jgi.p|Debsub1|213319	3426	1698	3493	1850	2331	3233	69	162	202	1199	2343	759
jgi.p|Debsub1|213321	5775	2802	8638	6024	5806	6943	4934	3815	8698	2800	5605	7801
jgi.p|Debsub1|213323	1013	533	1281	620	766	889	147	261	248	433	893	509
jgi.p|Debsub1|213324	1231	614	907	501	643	783	21	19	56	404	782	293
jgi.p|Debsub1|213326	5770	3080	6242	4148	4728	5679	510	889	866	2062	5252	3035
jgi.p|Debsub1|213327	950	496	710	448	578	676	22	40	39	367	721	270
jgi.p|Debsub1|213330	2	2	6	0	4	8	4	0	6	1	2	3
jgi.p|Debsub1|213332	433	188	306	193	245	333	83	57	121	282	544	490
jgi.p|Debsub1|213334	1197	535	1025	581	684	719	58	41	72	531	837	295
jgi.p|Debsub1|213335	751	320	441	286	310	485	10	28	69	188	422	64
jgi.p|Debsub1|213340	2649	1209	2006	855	1104	1249	63	74	80	615	1363	484
jgi.p|Debsub1|213342	625	369	598	418	570	669	39	66	100	366	738	294
jgi.p|Debsub1|213343	5298	2754	5761	3829	4058	4627	171	358	326	1898	4304	2268
jgi.p|Debsub1|213346	6226	3230	7676	4638	5729	7303	455	899	832	3306	6734	3138
jgi.p|Debsub1|213347	7772	3761	11358	6166	7050	8288	3375	3292	6348	4390	7842	8637
jgi.p|Debsub1|213350	3243	1594	4262	2294	2525	3174	1681	1184	3349	1208	2283	2528
jgi.p|Debsub1|213354	7635	3904	9328	4154	4488	6410	714	679	1222	1963	4625	3981
jgi.p|Debsub1|213356	930	440	1199	787	911	1029	364	324	481	619	1038	1202
jgi.p|Debsub1|213357	569	320	755	717	741	903	99	93	143	218	480	519
jgi.p|Debsub1|213364	2357	1190	1632	1234	1346	2181	28	48	79	771	1748	258
jgi.p|Debsub1|213370	1273	645	1521	1381	1428	1686	35	85	84	451	765	633
jgi.p|Debsub1|213380	1291	630	1537	929	1194	1534	813	409	1267	526	1196	1032
jgi.p|Debsub1|213394	7724	3889	8987	6145	6501	8253	451	654	902	2413	5768	3695
jgi.p|Debsub1|213397	521	267	639	527	584	554	26	38	41	236	596	358
jgi.p|Debsub1|213398	1135	611	1202	842	1099	1287	84	75	165	717	1605	852
jgi.p|Debsub1|213400	2068	1107	2200	1252	1437	1798	163	338	251	837	1534	1012
jgi.p|Debsub1|213401	6840	3611	3765	3113	3043	2264	124	117	192	1320	3039	854
jgi.p|Debsub1|213403	6579	3344	9080	4593	5338	6496	1826	1664	2963	2815	5877	5771
jgi.p|Debsub1|213404	3333	1633	3925	1821	2389	2583	677	1242	1299	1686	2661	2320
jgi.p|Debsub1|213405	1181	582	983	746	868	1003	17	33	54	335	938	240
jgi.p|Debsub1|213407	1059	592	1046	739	824	723	36	73	42	415	853	502
jgi.p|Debsub1|213408	2413	1157	1627	775	1030	1040	73	90	140	603	1330	414
jgi.p|Debsub1|213411	1783	849	1592	1132	1362	1661	54	88	98	626	1470	487
jgi.p|Debsub1|213415	783	342	568	403	493	606	9	21	56	338	532	196
jgi.p|Debsub1|213416	1530	771	1695	693	955	1007	115	241	290	946	1128	783
jgi.p|Debsub1|213417	5111	2417	6692	3440	4241	4948	4633	2513	7307	2656	4873	5111
jgi.p|Debsub1|213421	323	172	215	149	176	143	4	13	16	93	137	65
jgi.p|Debsub1|213422	777	387	323	322	338	317	11	15	17	85	247	47
