cont	cont	cont	lowN	lowN	lowN	salt	salt	salt	lowFE	lowFE	lowFE
100862	1035.58140985838	954.8518210192	1059.36462539183	1146.83675246429	994.643557461377	853.385240462088	195.069797254742	320.21501705869	228.55686126685	695.429274116509	639.657993152925	475.63581338648
100864	233.773991078697	226.829428224648	190.175095401666	240.004676892527	209.545693285403	227.006693324376	44.0480187349418	74.5706204109278	22.2208059564993	202.542528903374	175.115496224375	82.8070842838458
100868	257.026821452421	241.840199210103	174.433532695041	253.301334892113	212.339635862541	168.811239654135	106.973759784859	61.4110991619406	44.4416119129987	151.65746006558	179.006951696028	127.240153899568
100873	613.293401106989	628.784517946268	622.85534601351	616.30009828081	604.609173692815	548.192288771586	257.995538304659	298.282481643711	238.080063819636	387.12562174635	420.2771909385	238.322827938873
100875	242.90903158266	234.334813717376	230.16717362931	231.361849192796	206.192962192836	187.025083932607	94.3886115748752	140.368226655864	219.033658714065	502.864209691134	562.315315653826	879.572809893045
100969	115.018464527174	136.76480231192	148.481226611144	196.790538393872	154.225630258056	169.255479758488	138.436630309817	254.417410813754	311.091283390991	81.8152087195893	109.933617074191	133.299208847166
100970	279.86442271233	299.381487987679	385.455562491968	283.883648291161	259.836659673899	253.216859481203	818.034633648919	460.583243714554	571.392153167126	302.317173683361	327.855123486746	626.102344585176
100975	343.394477126256	353.587049879599	323.765654587624	355.020768588945	328.567647071511	342.509120456153	169.899500834775	114.04918415789	215.859257863136	286.353230518563	343.907377307314	201.968498253282
100992	273.635986005082	266.024219131113	306.32230131812	462.058865485613	356.507072842898	359.390244421566	327.213853459567	267.576932062741	247.603266372421	253.427597741167	296.723479713524	311.031487310055
101021	1038.07278454128	994.880543647079	1393.76647099745	1309.72081295922	1206.98319332392	1136.36618693494	1138.95591300349	1644.94015612341	977.71546208597	1689.18473612518	1354.22650413517	1874.26766379046
101038	764.021569422383	763.047525093946	728.366360911974	912.150738771598	928.147724125476	875.597245679737	390.139594509484	311.442002892699	368.230498707703	863.050677346887	862.443818905046	520.068883002202
101141	330.937603711761	336.074483729902	471.821433558049	524.553158083667	506.82118349296	470.450270509813	490.820780189351	1048.37519283599	539.648144657841	2401.57569985429	1518.6404978125	3950.5038258342
101142	509.070893539045	521.207325883843	625.833479498548	519.899327783811	520.790896378654	545.971088249821	880.960374698835	723.7736686943	1152.30750888704	634.566740800717	528.751512210821	830.090527820991
101144	2414.14206772921	2739.46570484548	2031.51248443614	2272.39885212924	2320.6487045714	2345.14351087942	1535.38808161797	872.914909516155	1326.8995556881	2105.24500485773	2841.73535817444	2642.7577996442
101191	411.907280905981	411.128338657175	354.823332360156	359.674598888801	334.155532225789	329.181917325563	264.288112409651	175.46028331983	288.870477434491	448.985901509941	495.674140701772	306.992117344989
101242	184.361726534532	179.295320104042	236.123440599384	227.37285179292	254.248774519622	207.015888628492	320.921279354576	438.650708299576	323.788886794704	248.438865502168	223.272257686078	415.045263910495
101247	1707.4221160135	1809.6318354687	1731.99734536954	1695.32389494721	1660.71946785124	1774.73921689018	7714.6958527198	2522.24157272256	5412.35345083305	1327.00277557383	1425.73199842679	2082.29521699134
101282	330.937603711761	326.901234794346	285.900814563579	276.570486391388	301.187009815552	314.077753777562	113.26633388985	153.527747904851	38.0928102111417	302.317173683361	288.940568770218	87.8562967401779
101284	301.871565744605	251.847379867073	404.60070632435	412.196397987165	336.3906862875	363.832645465096	358.676723984526	386.012623303626	317.440085092848	406.082804254547	357.041039524142	446.350381139754
